sample_index,true_label,true_class,predicted_label,predicted_class,correct
0,0,galaxy,0,galaxy,True
1,0,galaxy,0,galaxy,True
2,0,galaxy,0,galaxy,True
3,0,galaxy,0,galaxy,True
4,0,galaxy,0,galaxy,True
5,0,galaxy,0,galaxy,True
6,0,galaxy,0,galaxy,True
7,0,galaxy,0,galaxy,True
8,0,galaxy,0,galaxy,True
9,0,galaxy,0,galaxy,True
10,0,galaxy,0,galaxy,True
11,0,galaxy,0,galaxy,True
12,0,galaxy,0,galaxy,True
13,0,galaxy,0,galaxy,True
14,0,galaxy,0,galaxy,True
15,0,galaxy,0,galaxy,True
16,0,galaxy,0,galaxy,True
17,0,galaxy,0,galaxy,True
18,0,galaxy,0,galaxy,True
19,0,galaxy,0,galaxy,True
20,0,galaxy,0,galaxy,True
21,0,galaxy,0,galaxy,True
22,0,galaxy,0,galaxy,True
23,0,galaxy,0,galaxy,True
24,0,galaxy,0,galaxy,True
25,0,galaxy,0,galaxy,True
26,0,galaxy,0,galaxy,True
27,0,galaxy,0,galaxy,True
28,0,galaxy,0,galaxy,True
29,0,galaxy,0,galaxy,True
30,0,galaxy,0,galaxy,True
31,0,galaxy,0,galaxy,True
32,0,galaxy,0,galaxy,True
33,0,galaxy,0,galaxy,True
34,0,galaxy,0,galaxy,True
35,0,galaxy,0,galaxy,True
36,0,galaxy,0,galaxy,True
37,0,galaxy,0,galaxy,True
38,0,galaxy,0,galaxy,True
39,0,galaxy,0,galaxy,True
40,0,galaxy,0,galaxy,True
41,0,galaxy,0,galaxy,True
42,0,galaxy,0,galaxy,True
43,0,galaxy,0,galaxy,True
44,0,galaxy,0,galaxy,True
45,0,galaxy,0,galaxy,True
46,0,galaxy,0,galaxy,True
47,0,galaxy,0,galaxy,True
48,0,galaxy,0,galaxy,True
49,0,galaxy,0,galaxy,True
50,0,galaxy,0,galaxy,True
51,0,galaxy,0,galaxy,True
52,0,galaxy,0,galaxy,True
53,0,galaxy,0,galaxy,True
54,0,galaxy,0,galaxy,True
55,0,galaxy,0,galaxy,True
56,0,galaxy,0,galaxy,True
57,0,galaxy,0,galaxy,True
58,0,galaxy,0,galaxy,True
59,0,galaxy,0,galaxy,True
60,0,galaxy,0,galaxy,True
61,0,galaxy,0,galaxy,True
62,0,galaxy,0,galaxy,True
63,0,galaxy,0,galaxy,True
64,0,galaxy,2,star,False
65,0,galaxy,0,galaxy,True
66,0,galaxy,0,galaxy,True
67,0,galaxy,0,galaxy,True
68,0,galaxy,0,galaxy,True
69,0,galaxy,0,galaxy,True
70,0,galaxy,0,galaxy,True
71,0,galaxy,0,galaxy,True
72,0,galaxy,2,star,False
73,0,galaxy,1,quasar,False
74,0,galaxy,0,galaxy,True
75,0,galaxy,0,galaxy,True
76,0,galaxy,0,galaxy,True
77,0,galaxy,0,galaxy,True
78,0,galaxy,0,galaxy,True
79,0,galaxy,0,galaxy,True
80,0,galaxy,0,galaxy,True
81,0,galaxy,0,galaxy,True
82,0,galaxy,0,galaxy,True
83,0,galaxy,0,galaxy,True
84,0,galaxy,2,star,False
85,0,galaxy,0,galaxy,True
86,0,galaxy,0,galaxy,True
87,0,galaxy,0,galaxy,True
88,0,galaxy,0,galaxy,True
89,0,galaxy,0,galaxy,True
90,0,galaxy,0,galaxy,True
91,0,galaxy,0,galaxy,True
92,0,galaxy,0,galaxy,True
93,0,galaxy,0,galaxy,True
94,0,galaxy,0,galaxy,True
95,0,galaxy,0,galaxy,True
96,0,galaxy,0,galaxy,True
97,0,galaxy,0,galaxy,True
98,0,galaxy,0,galaxy,True
99,0,galaxy,2,star,False
100,0,galaxy,0,galaxy,True
101,0,galaxy,0,galaxy,True
102,0,galaxy,0,galaxy,True
103,0,galaxy,0,galaxy,True
104,0,galaxy,0,galaxy,True
105,0,galaxy,0,galaxy,True
106,0,galaxy,0,galaxy,True
107,0,galaxy,0,galaxy,True
108,0,galaxy,1,quasar,False
109,0,galaxy,1,quasar,False
110,0,galaxy,0,galaxy,True
111,0,galaxy,0,galaxy,True
112,0,galaxy,0,galaxy,True
113,0,galaxy,0,galaxy,True
114,0,galaxy,0,galaxy,True
115,0,galaxy,0,galaxy,True
116,0,galaxy,0,galaxy,True
117,0,galaxy,0,galaxy,True
118,0,galaxy,0,galaxy,True
119,0,galaxy,0,galaxy,True
120,0,galaxy,0,galaxy,True
121,0,galaxy,0,galaxy,True
122,0,galaxy,0,galaxy,True
123,0,galaxy,0,galaxy,True
124,0,galaxy,0,galaxy,True
125,0,galaxy,0,galaxy,True
126,0,galaxy,0,galaxy,True
127,0,galaxy,0,galaxy,True
128,0,galaxy,0,galaxy,True
129,0,galaxy,0,galaxy,True
130,0,galaxy,0,galaxy,True
131,0,galaxy,0,galaxy,True
132,0,galaxy,0,galaxy,True
133,0,galaxy,0,galaxy,True
134,0,galaxy,0,galaxy,True
135,0,galaxy,2,star,False
136,0,galaxy,0,galaxy,True
137,0,galaxy,0,galaxy,True
138,0,galaxy,0,galaxy,True
139,0,galaxy,0,galaxy,True
140,0,galaxy,0,galaxy,True
141,0,galaxy,0,galaxy,True
142,0,galaxy,0,galaxy,True
143,0,galaxy,0,galaxy,True
144,0,galaxy,0,galaxy,True
145,0,galaxy,0,galaxy,True
146,0,galaxy,0,galaxy,True
147,0,galaxy,0,galaxy,True
148,0,galaxy,0,galaxy,True
149,0,galaxy,0,galaxy,True
150,0,galaxy,0,galaxy,True
151,0,galaxy,0,galaxy,True
152,0,galaxy,0,galaxy,True
153,0,galaxy,0,galaxy,True
154,0,galaxy,0,galaxy,True
155,0,galaxy,0,galaxy,True
156,0,galaxy,0,galaxy,True
157,0,galaxy,0,galaxy,True
158,0,galaxy,0,galaxy,True
159,0,galaxy,0,galaxy,True
160,0,galaxy,0,galaxy,True
