sample_index,true_label,true_class,majority_vote_label,majority_vote_class,majority_vote_correct,mean_probability_label,mean_probability_class,mean_probability_correct,strategies_agree,efficientnet_b0_label,efficientnet_b0_class,efficientnet_b0_confidence,resnet50_label,resnet50_class,resnet50_confidence,convnext_tiny_label,convnext_tiny_class,convnext_tiny_confidence,vit_b_16_label,vit_b_16_class,vit_b_16_confidence,vmamba_label,vmamba_class,vmamba_confidence,cnn_shallow_label,cnn_shallow_class,cnn_shallow_confidence
0,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9903326630592346,0,galaxy,0.9958178400993347,0,galaxy,0.9423580765724182,0,galaxy,0.9803758859634399,0,galaxy,0.9554612636566162,0,galaxy,0.42320260405540466
1,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.956543505191803,0,galaxy,0.9921897053718567,0,galaxy,0.981502115726471,0,galaxy,0.9682207107543945,0,galaxy,0.9434845447540283,0,galaxy,0.6678687334060669
2,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9959783554077148,0,galaxy,0.9857648015022278,0,galaxy,0.9796964526176453,0,galaxy,0.9917169213294983,0,galaxy,0.9737387895584106,0,galaxy,0.5606448650360107
3,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9727214574813843,0,galaxy,0.9997033476829529,0,galaxy,0.9852759838104248,0,galaxy,0.9879996180534363,0,galaxy,0.9782156348228455,0,galaxy,0.8944358825683594
4,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9967545866966248,0,galaxy,0.995206892490387,0,galaxy,0.9866653680801392,0,galaxy,0.9784372448921204,0,galaxy,0.9854379892349243,0,galaxy,0.9126526713371277
5,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.8832542896270752,0,galaxy,0.8657996654510498,0,galaxy,0.9720996022224426,0,galaxy,0.9829789996147156,0,galaxy,0.9464392066001892,0,galaxy,0.4647195637226105
6,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9973434805870056,0,galaxy,0.9999086856842041,0,galaxy,0.9820498824119568,0,galaxy,0.9922352433204651,0,galaxy,0.9847803115844727,0,galaxy,0.6819411516189575
7,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9828413724899292,1,quasar,0.6700464487075806,0,galaxy,0.9641188383102417,0,galaxy,0.981560230255127,0,galaxy,0.9590949416160583,1,quasar,0.3964378237724304
8,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.937124490737915,0,galaxy,0.9687410593032837,0,galaxy,0.9725252389907837,0,galaxy,0.9573390483856201,0,galaxy,0.9199072122573853,0,galaxy,0.426582008600235
9,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9770200252532959,0,galaxy,0.9842991828918457,0,galaxy,0.9790835976600647,0,galaxy,0.9885375499725342,0,galaxy,0.9788627624511719,2,star,0.47997766733169556
10,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9810475707054138,0,galaxy,0.9990957975387573,0,galaxy,0.9778554439544678,0,galaxy,0.9924259185791016,0,galaxy,0.9815381765365601,0,galaxy,0.7738921642303467
11,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9794039130210876,0,galaxy,0.9691610932350159,0,galaxy,0.9637441039085388,0,galaxy,0.9773337244987488,0,galaxy,0.9269916415214539,0,galaxy,0.5604498386383057
12,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9877657890319824,0,galaxy,0.750296950340271,0,galaxy,0.9693377017974854,0,galaxy,0.9616627097129822,0,galaxy,0.9485254287719727,0,galaxy,0.4478211998939514
13,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9354416728019714,0,galaxy,0.9751087427139282,0,galaxy,0.9820240139961243,0,galaxy,0.9914405345916748,0,galaxy,0.9620646238327026,2,star,0.7380678653717041
14,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.7097634077072144,0,galaxy,0.994598388671875,0,galaxy,0.9868525862693787,0,galaxy,0.990484356880188,0,galaxy,0.9846998453140259,0,galaxy,0.7876483201980591
15,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9874252676963806,0,galaxy,0.9984647035598755,0,galaxy,0.9764426350593567,0,galaxy,0.9879500865936279,0,galaxy,0.9744479060173035,0,galaxy,0.6692089438438416
16,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.5639486312866211,0,galaxy,0.980712890625,0,galaxy,0.9071594476699829,0,galaxy,0.9188839197158813,0,galaxy,0.93380206823349,2,star,0.8284382224082947
17,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.8948788642883301,0,galaxy,0.8953297138214111,0,galaxy,0.9567839503288269,0,galaxy,0.9644771218299866,0,galaxy,0.9092963337898254,0,galaxy,0.3841342031955719
18,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9232840538024902,0,galaxy,0.9982195496559143,0,galaxy,0.9768800735473633,0,galaxy,0.9900944828987122,0,galaxy,0.9844714999198914,0,galaxy,0.6139931082725525
19,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9908952713012695,0,galaxy,0.966760516166687,0,galaxy,0.9688640236854553,0,galaxy,0.9916725754737854,0,galaxy,0.9701976180076599,0,galaxy,0.5958057641983032
20,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9793333411216736,0,galaxy,0.9988983869552612,0,galaxy,0.9797295331954956,0,galaxy,0.9873318076133728,0,galaxy,0.9800353646278381,2,star,0.4977131187915802
21,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9469397664070129,0,galaxy,0.9867591261863708,0,galaxy,0.977687418460846,0,galaxy,0.9867323040962219,0,galaxy,0.9654542803764343,0,galaxy,0.5273743271827698
22,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9630842208862305,0,galaxy,0.8917849659919739,0,galaxy,0.9626550674438477,0,galaxy,0.9841458201408386,0,galaxy,0.9663311839103699,0,galaxy,0.8344470858573914
23,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9929800629615784,0,galaxy,0.9955018162727356,0,galaxy,0.9770119786262512,0,galaxy,0.9904476404190063,0,galaxy,0.9681772589683533,0,galaxy,0.6237849593162537
24,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9870343804359436,0,galaxy,0.9996600151062012,0,galaxy,0.9873688817024231,0,galaxy,0.9906377792358398,0,galaxy,0.9854553937911987,0,galaxy,0.696376383304596
25,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9874947667121887,0,galaxy,0.9826242327690125,0,galaxy,0.9847930669784546,0,galaxy,0.9912071824073792,0,galaxy,0.9850972890853882,0,galaxy,0.7830523252487183
26,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9876669645309448,0,galaxy,0.999051034450531,0,galaxy,0.9839974641799927,0,galaxy,0.9833555817604065,0,galaxy,0.9856345057487488,0,galaxy,0.8769150376319885
27,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.7254282236099243,0,galaxy,0.8323318958282471,0,galaxy,0.963599443435669,0,galaxy,0.9839233756065369,0,galaxy,0.9502719044685364,0,galaxy,0.6903302073478699
28,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.939021110534668,0,galaxy,0.9755531549453735,0,galaxy,0.9587799310684204,0,galaxy,0.9818925857543945,0,galaxy,0.9625522494316101,0,galaxy,0.4990556836128235
29,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9556564688682556,0,galaxy,0.9956348538398743,0,galaxy,0.9555771946907043,0,galaxy,0.9936026930809021,0,galaxy,0.973118782043457,0,galaxy,0.8955214023590088
30,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.963844895362854,0,galaxy,0.9948900938034058,0,galaxy,0.9702123999595642,0,galaxy,0.9851749539375305,0,galaxy,0.9454556107521057,0,galaxy,0.6715560555458069
31,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9921573400497437,0,galaxy,0.9761819839477539,0,galaxy,0.921567440032959,0,galaxy,0.9799291491508484,0,galaxy,0.9359239935874939,0,galaxy,0.5499192476272583
32,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9845064282417297,0,galaxy,0.9942811727523804,0,galaxy,0.9703596830368042,0,galaxy,0.9758205413818359,0,galaxy,0.9833852052688599,0,galaxy,0.599550724029541
33,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.8877009749412537,0,galaxy,0.985694944858551,0,galaxy,0.965289831161499,0,galaxy,0.9787635207176208,0,galaxy,0.9425778388977051,0,galaxy,0.6268742680549622
34,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9840707778930664,0,galaxy,0.9815160036087036,0,galaxy,0.972751796245575,0,galaxy,0.9749879240989685,0,galaxy,0.9843281507492065,0,galaxy,0.4887975752353668
35,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9554521441459656,0,galaxy,0.9828177690505981,0,galaxy,0.97925865650177,0,galaxy,0.9901126623153687,0,galaxy,0.9844016432762146,0,galaxy,0.44837895035743713
36,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9661968350410461,0,galaxy,0.8847100138664246,0,galaxy,0.9344522953033447,0,galaxy,0.9823582768440247,0,galaxy,0.8990516066551208,0,galaxy,0.7509567737579346
37,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9394022822380066,1,quasar,0.4198547601699829,0,galaxy,0.8955192565917969,0,galaxy,0.7673133611679077,0,galaxy,0.9262943863868713,2,star,0.39640018343925476
38,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.7159419059753418,0,galaxy,0.9130706191062927,0,galaxy,0.7962247729301453,0,galaxy,0.602411150932312,0,galaxy,0.9278797507286072,2,star,0.6940113306045532
39,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9918294548988342,0,galaxy,0.9937724471092224,0,galaxy,0.9811954498291016,0,galaxy,0.9806366562843323,0,galaxy,0.9840189218521118,0,galaxy,0.8281329274177551
40,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9693505167961121,0,galaxy,0.9730494618415833,0,galaxy,0.9787960648536682,0,galaxy,0.9900088310241699,0,galaxy,0.985008955001831,0,galaxy,0.6589536070823669
41,0,galaxy,0,galaxy,True,0,galaxy,True,True,0,galaxy,0.9859302639961243,0,galaxy,0.9995102882385254,0,galaxy,0.9604990482330322,0,galaxy,0.9554442763328552,0,galaxy,0.9254705905914307,2,star,0.4772602617740631
